example_id,type,n_components,expected_labels,weights,recommended_input,note,1H_peaklist,1H_vector,13C_peaklist,13C_vector
ethanol,single,1,ethanol,ethanol:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/ethanol_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/ethanol_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/ethanol_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/ethanol_13C_from_spectra_dataset_vector.npy
acetone,single,1,acetone,acetone:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/acetone_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/acetone_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/acetone_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/acetone_13C_from_spectra_dataset_vector.npy
ethyl_acetate,single,1,ethyl_acetate,ethyl_acetate:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/ethyl_acetate_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/ethyl_acetate_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/ethyl_acetate_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/ethyl_acetate_13C_from_spectra_dataset_vector.npy
toluene,single,1,toluene,toluene:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/toluene_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/toluene_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/toluene_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/toluene_13C_from_spectra_dataset_vector.npy
hexane,single,1,hexane,hexane:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/hexane_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/hexane_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/hexane_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/hexane_13C_from_spectra_dataset_vector.npy
methanol,single,1,methanol,methanol:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/methanol_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/methanol_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/methanol_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/methanol_13C_from_spectra_dataset_vector.npy
chloroform,single,1,chloroform,chloroform:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/chloroform_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/chloroform_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/chloroform_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/chloroform_13C_from_spectra_dataset_vector.npy
benzene,single,1,benzene,benzene:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/benzene_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/benzene_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/benzene_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/benzene_13C_from_spectra_dataset_vector.npy
cyclohexane,single,1,cyclohexane,cyclohexane:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/cyclohexane_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/cyclohexane_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/cyclohexane_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/cyclohexane_13C_from_spectra_dataset_vector.npy
acetonitrile,single,1,acetonitrile,acetonitrile:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/acetonitrile_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/acetonitrile_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/acetonitrile_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/acetonitrile_13C_from_spectra_dataset_vector.npy
tetrahydrofuran,single,1,tetrahydrofuran,tetrahydrofuran:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/tetrahydrofuran_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/tetrahydrofuran_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/tetrahydrofuran_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/tetrahydrofuran_13C_from_spectra_dataset_vector.npy
dioxane,single,1,dioxane,dioxane:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/dioxane_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/dioxane_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/dioxane_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/dioxane_13C_from_spectra_dataset_vector.npy
dimethyl_sulfoxide,single,1,dimethyl_sulfoxide,dimethyl_sulfoxide:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/dimethyl_sulfoxide_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/dimethyl_sulfoxide_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/dimethyl_sulfoxide_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/dimethyl_sulfoxide_13C_from_spectra_dataset_vector.npy
nitromethane,single,1,nitromethane,nitromethane:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/nitromethane_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/nitromethane_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/nitromethane_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/nitromethane_13C_from_spectra_dataset_vector.npy
propanol,single,1,propanol,propanol:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/propanol_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/propanol_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/propanol_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/propanol_13C_from_spectra_dataset_vector.npy
isopropanol,single,1,isopropanol,isopropanol:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/isopropanol_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/isopropanol_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/isopropanol_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/isopropanol_13C_from_spectra_dataset_vector.npy
diethyl_ether,single,1,diethyl_ether,diethyl_ether:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/diethyl_ether_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/diethyl_ether_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/diethyl_ether_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/diethyl_ether_13C_from_spectra_dataset_vector.npy
p_xylene,single,1,p_xylene,p_xylene:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/p_xylene_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/p_xylene_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/p_xylene_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/p_xylene_13C_from_spectra_dataset_vector.npy
anisole,single,1,anisole,anisole:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/anisole_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/anisole_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/anisole_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/anisole_13C_from_spectra_dataset_vector.npy
acetophenone,single,1,acetophenone,acetophenone:1.00,"peaklist first; if app still misses, try vector .npy version",single-compound example directly from spectra_dataset rows,examples/dataset_based/single_peaklists/acetophenone_1H_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/acetophenone_1H_from_spectra_dataset_vector.npy,examples/dataset_based/single_peaklists/acetophenone_13C_from_spectra_dataset_peaklist.csv,examples/dataset_based/single_vectors/acetophenone_13C_from_spectra_dataset_vector.npy
